,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1451,RELIANCE,EQ,2020-11-13,"1,980.00","1,982.00","2,036.65","1,981.75","2,000.05","1,996.40","2,007.38","2,09,46,864","42,04,82,68,831.65","5,07,695","52,80,992",25.21
1452,RELIANCE,EQ,2020-11-14,"1,996.40","2,014.90","2,015.30","1,995.35","2,001.55","2,002.30","2,005.96","24,11,900","4,83,81,63,827.65","99,484","6,21,485",25.77
1453,RELIANCE,EQ,2020-11-17,"2,002.30","2,085.00","2,085.00","1,985.00","1,994.80","1,993.25","2,013.16","2,14,79,385","43,24,13,64,015.15","4,62,630","58,19,797",27.09
1454,RELIANCE,EQ,2020-11-18,"1,993.25","1,993.25","2,006.50","1,960.10","1,991.20","1,987.20","1,979.95","1,40,30,652","27,78,00,20,120.45","4,10,607","36,01,706",25.67
1455,RELIANCE,EQ,2020-11-19,"1,987.20","1,987.20","2,010.45","1,968.20","1,972.00","1,973.15","1,987.24","1,28,28,008","25,49,22,81,433.30","3,07,890","35,70,924",27.84
1456,RELIANCE,EQ,2020-11-20,"1,973.15","1,975.00","1,983.80","1,895.00","1,901.00","1,899.50","1,923.27","2,65,22,972","51,01,08,21,672.60","7,94,436","77,72,176",29.30
1457,RELIANCE,EQ,2020-11-23,"1,899.50","1,951.00","1,970.00","1,926.25","1,955.20","1,950.70","1,952.18","2,09,18,665","40,83,70,42,219.85","4,97,781","51,48,955",24.61
1458,RELIANCE,EQ,2020-11-24,"1,950.70","1,964.00","1,974.00","1,932.00","1,971.05","1,964.05","1,952.11","1,42,77,083","27,87,04,35,599.60","3,62,587","32,13,843",22.51
1459,RELIANCE,EQ,2020-11-25,"1,964.05","1,980.00","1,992.95","1,942.20","1,947.50","1,947.80","1,969.06","1,50,62,376","29,65,87,44,015.65","3,56,793","30,40,444",20.19
1460,RELIANCE,EQ,2020-11-26,"1,947.80","1,953.05","1,965.00","1,930.05","1,957.00","1,952.60","1,946.67","1,19,24,527","23,21,30,94,743.90","2,66,412","34,06,506",28.57
1461,RELIANCE,EQ,2020-11-27,"1,952.60","1,940.50","1,956.10","1,921.40","1,940.50","1,929.80","1,935.45","2,18,45,931","42,28,16,37,552.75","3,14,085","1,24,89,338",57.17
1462,RELIANCE,EQ,2020-12-01,"1,929.80","1,940.35","1,966.25","1,930.05","1,954.10","1,954.90","1,950.09","91,14,939","17,77,49,77,230.85","2,72,346","30,73,957",33.72
1463,RELIANCE,EQ,2020-12-02,"1,954.90","1,958.50","1,962.00","1,935.00","1,959.00","1,958.15","1,947.77","1,02,40,168","19,94,54,69,659.25","2,36,641","38,85,070",37.94
1464,RELIANCE,EQ,2020-12-03,"1,958.15","1,972.00","1,981.10","1,958.65","1,960.80","1,964.05","1,969.94","1,28,22,945","25,26,03,74,206.80","2,70,788","61,51,159",47.97
1465,RELIANCE,EQ,2020-12-04,"1,964.05","1,969.00","1,969.00","1,940.00","1,947.70","1,946.75","1,948.72","85,21,388","16,60,57,63,758.95","2,86,109","37,71,228",44.26
1466,RELIANCE,EQ,2020-12-07,"1,946.75","1,940.60","1,965.00","1,940.60","1,958.35","1,958.20","1,955.62","84,18,767","16,46,38,93,633.45","2,67,040","37,06,525",44.03
